year,month,electricity_kwh,gas_m3,water_m3,district_heating,date,season,total_usage
2015,1,193784708.0,59133720.0,12819757.886,22740838.937,2015-01-01,겨울,288479024.823
2015,2,189974230.0,56487358.0,12656888.218,18793320.213,2015-02-01,겨울,277911796.431
2015,3,175215719.0,49984873.0,12655474.249,13826348.508,2015-03-01,봄,251682414.757
2015,4,183891769.0,37306841.0,12954773.246,5836002.885,2015-04-01,봄,239989386.13099998
2015,5,177289769.0,22060892.0,13086734.214,1320895.801,2015-05-01,봄,213758291.015
2015,6,186073153.0,12677645.0,14241651.402,294312.634,2015-06-01,여름,213286762.036
2015,7,165114568.0,8893640.0,12083879.038,702863.645,2015-07-01,여름,186794950.683
2015,8,242000479.0,7619018.0,15164553.742,460288.965,2015-08-01,여름,265244339.70700002
2015,9,207540868.0,6518422.0,14419078.727,305710.728,2015-09-01,가을,228784079.45499998
2015,10,186473958.0,8924018.0,14711828.766,3167520.127,2015-10-01,가을,213277324.893
2015,11,196892030.0,20322557.0,13692668.676,11210982.51,2015-11-01,가을,242118238.186
2015,12,203388142.0,40095231.0,13904162.958,21102616.717,2015-12-01,겨울,278490152.675
2016,1,215330620.0,57641741.0,13218916.436,27186166.133,2016-01-01,겨울,313377443.569
2016,2,216677664.0,68879796.0,13312113.622,21452994.715,2016-02-01,겨울,320322568.33699995
2016,3,203451798.0,60019600.0,13191615.499,14070182.978,2016-03-01,봄,290733196.477
2016,4,202541336.0,40370608.0,13748935.736,4556396.936,2016-04-01,봄,261217276.672
2016,5,195448592.0,23077064.0,13762618.524,1166907.615,2016-05-01,봄,233455182.139
2016,6,205061790.0,13344932.0,14543461.284,340601.066,2016-06-01,여름,233290784.35000002
2016,7,226567751.0,9641899.0,14686067.972,89835.795,2016-07-01,여름,250985553.767
2016,8,303032015.0,8324791.0,15442898.396,27303.979,2016-08-01,여름,326827008.375
2016,9,241676328.0,7030657.0,15233262.266,2597269.386,2016-09-01,가을,266537516.652
2016,10,197827666.0,10129547.0,15173666.268,2142328.405,2016-10-01,가을,225273207.673
2016,11,204812090.0,23915383.0,7215169.0,10865402.481,2016-11-01,가을,246808044.481
2016,12,212192127.0,46917377.0,14415082.726,17554645.961,2016-12-01,겨울,291079232.68700004
2017,1,222980440.0,61781772.0,14077034.016,20567265.356,2017-01-01,겨울,319406511.372
2017,2,226181991.0,73537514.0,13724166.552,17733782.246,2017-02-01,겨울,331177453.798
2017,3,208386870.0,64297007.0,13598081.92,11477962.549,2017-03-01,봄,297759921.46900004
2017,4,214202199.0,45050211.0,12690616.841,4466510.567,2017-04-01,봄,276409537.408
2017,5,209894672.0,25103152.0,12950202.184,19809726.81,2017-05-01,봄,267757752.99400002
2017,6,211179181.0,14312533.0,13629782.778,235859.209,2017-06-01,여름,239357355.987
2017,7,255974689.0,10085989.0,13786672.672,40992.123,2017-07-01,여름,279888342.795
2017,8,297850172.0,8429188.0,14291829.084,118927.011,2017-08-01,여름,320690116.09499997
2017,9,232360099.0,8981707.0,13842675.562,1279967.753,2017-09-01,가을,256464449.315
2017,10,202205893.0,11910453.0,13811362.596,2177857.689,2017-10-01,가을,230105566.28500003
2017,11,215620132.0,26041170.0,13268391.686,12290667.843,2017-11-01,가을,267220361.52899998
2017,12,228503347.0,59466188.0,13243386.284,21819495.238,2017-12-01,겨울,323032416.52199996
2018,1,208518118.0,82250572.0,10997016.858,15268708.539,2018-01-01,겨울,317034415.39699996
2018,2,243271752.0,88496947.0,12905042.86,22671708.494,2018-02-01,겨울,367345450.35400003
2018,3,219203768.0,73426397.0,12769174.532,10924939.951,2018-03-01,봄,316324279.483
2018,4,222416406.0,42565583.0,13280372.714,5017072.364,2018-04-01,봄,283279434.078
2018,5,213539965.0,29234091.0,13181988.612,1375720.246,2018-05-01,봄,257331764.85799998
2018,6,222820943.0,17132065.0,14051336.092,285820.628,2018-06-01,여름,254290164.72
2018,7,269705511.0,11259835.0,14333667.052,25843523.832,2018-07-01,여름,321142536.884
2018,8,393315950.0,8166455.0,14956551.722,15855.507,2018-08-01,여름,416454812.22900003
2018,9,267255459.0,7210123.0,14705302.054,192778.954,2018-09-01,가을,289363663.008
2018,10,217274530.0,14102506.0,14728158.238,4137960.203,2018-10-01,가을,250243154.441
2018,11,227294230.0,31239511.0,13706690.088,10276290.855,2018-11-01,가을,282516721.943
2018,12,238692561.0,54019855.0,13732488.456,20421845.603,2018-12-01,겨울,326866750.05899996
2019,1,253600219.0,80308239.0,13442971.1,21963093.848,2019-01-01,겨울,369314522.948
2019,2,244927344.0,81902188.0,13495213.9,106134923.132,2019-02-01,겨울,446459669.03199995
2019,3,223736787.0,65146586.443,13167550.0,13194262.09,2019-03-01,봄,315245185.533
2019,4,232166121.0,49391508.0,13753270.8,7858587.747,2019-04-01,봄,303169487.547
2019,5,221753919.0,31370114.0,13610225.3,1442006.927,2019-05-01,봄,268176265.227
2019,6,226119779.0,15771701.0,14223536.4,331690.945,2019-06-01,여름,256446707.345
2019,7,257854441.0,10700835.0,14451345.9,968957.161,2019-07-01,여름,283975579.061
2019,8,342924356.0,8884580.0,15115644.2,147683.081,2019-08-01,여름,367072263.28099996
2019,9,275890739.0,8397984.0,14472395.4,2292916.674,2019-09-01,가을,301054035.074
2019,10,228095713.0,11876816.0,14804362.3,2590192.143,2019-10-01,가을,257367083.44300002
2019,11,231283724.0,24835894.0,14123043.9,14983364.884,2019-11-01,가을,285226026.784
2019,12,244976724.0,54509050.0,14184785.2,23558262.283,2019-12-01,겨울,337228821.483
2020,1,258045023.0,74543710.0,13737344.7,24876689.382,2020-01-01,겨울,371202767.082
2020,2,254879033.0,76363768.0,14052828.8,20848668.612,2020-02-01,겨울,366144298.412
2020,3,244369714.0,64367515.0,13841531.0,14194450.151,2020-03-01,봄,336773210.151
2020,4,247831442.0,48373693.0,14618775.2,8499792.566,2020-04-01,봄,319323702.766
2020,5,237473019.0,33564967.0,14679505.8,3702573.787,2020-05-01,봄,289420065.587
2020,6,255905483.0,18132779.0,15240275.9,705948.444,2020-06-01,여름,289984486.344
2020,7,267363208.0,10708959.0,15033682.8,21617947.477,2020-07-01,여름,314723797.277
2020,8,320723239.0,10177428.0,15600097.8,286814.663,2020-08-01,여름,346787579.463
2020,9,309166830.0,8026967.0,15232496.1,301630.266,2020-09-01,가을,332727923.366
2020,10,239397195.0,16322881.0,15641048.9,4581073.913,2020-10-01,가을,275942198.81299996
2020,11,247308528.0,30095679.0,14835013.9,12882737.572,2020-11-01,가을,305121958.472
2020,12,265370372.0,51095720.0,15036546.3,26512966.052,2020-12-01,겨울,358015604.352
2021,1,287882528.0,80955422.0,14273105.8,31069705.783,2021-01-01,겨울,414180761.583
2021,2,271224712.0,85581769.0,13679936.9,22238103.26,2021-02-01,겨울,392724521.15999997
2021,3,243868926.0,67363697.0,14263783.7,12528828.427,2021-03-01,봄,338025235.127
2021,4,248131327.0,43591034.0,14570687.2,5220678.501,2021-04-01,봄,311513726.701
2021,5,241741576.0,24638403.0,14312460.916,2246730.037,2021-05-01,봄,282939169.953
2021,6,254958704.0,18898880.0,15174790.6,396903.273,2021-06-01,여름,289429277.873
2021,7,334733756.0,9631171.0,16619105.064,5529269.058,2021-07-01,여름,366513301.12200004
2021,8,409719040.0,10205066.0,15737994.8,127607.838,2021-08-01,여름,435789708.638
2021,9,290606638.0,6602872.0,15497783.9,159066.058,2021-09-01,가을,312866359.958
2021,10,253845816.0,13840155.0,15930639.8,4220985.501,2021-10-01,가을,287837596.301
